node idx,paper id,title
0,9657784,Evasion attacks against machine learning at test time
1,39886162,How Hard is Computing Parity with Noisy Communications
2,116214155,On the absence of the RIP in real-world applications of compressed sensing and the RIP in levels
3,121432379,A Promise Theory Perspective on Data Networks
4,231147053,Analysis of Asymptotically Optimal Sampling-based Motion Planning Algorithms for Lipschitz Continuous Dynamical Systems.
5,1196386999,The Edge Group Coloring Problem with Applications to Multicast Switching
6,1444859417,WebVRGIS Based City Bigdata 3D Visualization and Analysis
7,1483430697,Information Theoretic Authentication and Secrecy Codes in the Splitting Model
8,1486601621,
9,1495847259,Nonparametric Decentralized Sequential Detection via Universal Source Coding
10,1500126713,Online Learning in Decentralized Multiuser Resource Sharing Problems
11,1512190626,Truthful Secretaries with Budgets.
12,1524631297,Improved Bounds on RIP for Generalized Orthogonal Matching Pursuit
13,1525384803,A system for reflection in C
14,1528301850,A bi-level view of inpainting - based image compression
15,1537465387,Distributed Graph Automata and Verification of Distributed Algorithms
16,1539916885,Randomness-Efficient Rumor Spreading
17,1542788159,
18,1544145018,Bayesian two-sample tests
19,1546946208,Electrical Structure-Based PMU Placement in Electric Power Systems
20,1550373401,On State Dependent Broadcast Channels with Cooperation
21,1551937652,
22,1553895888,Shannon Meets Carnot: Mutual Information Via Thermodynamics
23,1555565700,On List-decodability of Random Rank Metric Codes
24,1556595261,Dealing with Run-Time Variability in Service Robotics: Towards a DSL for Non-Functional Properties
25,1561232457,
26,1561890487,Data Structures for Approximate Range Counting
27,1566387761,Holographic Transformation for Quantum Factor Graphs
28,1573599372,Rooted Trees with Probabilities Revisited
29,1578902217,Time-Critical Social Mobilization
30,1581827225,Homomorphic Encryption: Theory & Applications
31,1585744708,
32,1586330215,Methods for Integrating Knowledge with the Three-Weight Optimization Algorithm for Hybrid Cognitive Processing
33,1591405962,CSMA Local Area Networking under Dynamic Altruism
34,1595098738,
35,1596723206,
36,1601434380,An efficient way to perform the assembly of finite element matrices in Matlab and Octave
37,1606458877,How Auto-Encoders Could Provide Credit Assignment in Deep Networks via Target Propagation.
38,1607460189,Constrained Parametric Proposals and Pooling Methods for Semantic Segmentation in RGB-D Images
39,1615334113,Cooperative Game Theoretic Solution Concepts for top-$k$ Problems
40,1618900328,
41,1623729836,Reconfigurable Wireless Networks
42,1633846131,Contact Representations of Sparse Planar Graphs.
43,1634869392,Modularity aspects of disjunctive stable models
44,1650363355,Replica Symmetric Bound for Restricted Isometry Constant
45,1657294604,Pushdown Abstractions of JavaScript
46,1661863441,A Notion of Robustness for Cyber-Physical Systems
47,1665243225,ENTROPY RATE FOR HIDDEN MARKOV CHAINS WITH RARE TRANSITIONS
48,1665669548,Memristors can implement fuzzy logic
49,1667633038,Asymptotic Capacity of Wireless Ad Hoc Networks with Realistic Links under a Honey Comb Topology
50,1670829281,
51,1681484497,Informetric Analyses of Knowledge Organization Systems (KOSs).
52,1682705844,Latent Topic Models for Hypertext
53,1698782162,Complete Security Framework for Wireless Sensor Networks
54,1717093152,Neural dissimilarity indices that predict oddball detection in behaviour
55,1720451657,Network maps of technology fields: A comparative analysis of relatedness measures
56,1738519518,Continuous Double Auction Mechanism and Bidding Strategies in Cloud Computing Markets.
57,1740018295,The abc-Problem for Gabor Systems
58,1754384483,Inference-less Density Estimation using Copula Bayesian Networks
59,1769594948,Optimal detection of intersections between convex polyhedra
60,1774345111,Limits of Rush Hour Logic Complexity
61,1777784767,New separation between $s(f)$ and $bs(f)$
62,1791983455,A survey on handover management in mobility architectures
63,1798241237,Many-Task Computing and Blue Waters
64,1812070052,Identifying Reliable Annotations for Large Scale Image Segmentation.
65,1814471488,Improved Analyses for SP and CoSaMP Algorithms in Terms of Restricted Isometry Constants
66,1815334329,Squares of 3-sun-free split graphs
67,1816985167,Tree dynamics for peer-to-peer streaming
68,1818292367,Stochastic Ordering of Interferences in Large-scale Wireless Networks
69,1818296812,Earthquake Disaster based Efficient Resource Utilization Technique in IaaS Cloud
70,1823940520,On Descriptional Complexity of the Planarity Problem for Gauss Words
71,1824996543,Multi-Access MIMO Systems with Finite Rate Channel State Feedback
72,1831933153,
73,1838670769,
74,1839164722,
75,1844261290,
76,1849650586,Using multiple-criteria methods to evaluate community partitions
77,1852713323,Incremental Adaptation Strategies for Neural Network Language Models
78,1856665498,Optimal Point-to-Point Codes in Interference Channels: An Incremental I-MMSE approach
79,1859168105,A Combined Approach for Constraints over Finite Domains and Arrays
80,1860769804,Optimization Design and Analysis of Systematic LT codes over AWGN Channel.
81,1867927193,Truth and Envy in Capacitated Allocation Games
82,1869518888,SMT-Based Bounded Model Checking of Fixed-Point Digital Controllers
83,1871136127,Google matrix of business process management
84,1874862603,
85,1890858171,Iterated LD-Problem in non-associative key establishment
86,1899741157,Towards Ontological Support for Principle Solutions in Mechanical Engineering
87,1903515055,Formation of Robust Multi-Agent Networks Through Self-Organizing Random Regular Graphs
88,1909770226,
89,1912377242,Throughput capacity of two-hop relay MANETs under finite buffers
90,1913310022,Bounds on the Capacity of ASK Molecular Communication Channels with ISI
91,1913435380,Ranking the Importance Level of Intermediaries to a Criminal using a Reliance Measure
92,1917184511,
93,1921222141,
94,1923785946,
95,1924943363,
96,1931766922,A sparse Bayesian framework for conditioning uncertain geologic models to nonlinear flow measurements
97,1952469305,PaxosLease: Diskless Paxos for Leases
98,1955298890,Learning Kernel-Based Halfspaces with the Zero-One Loss
99,1955776637,On the Optimality of Simple Schedules for Networks With Multiple Half-Duplex Relays
100,1956364207,Interaction and resistance: the recognition of intentions in new human-computer interaction
101,1962645729,Optimizations for Decision Making and Planning in Description Logic Dynamic Knowledge Bases
102,1965341892,Inference and evaluation of the multinomial mixture model for text clustering
103,1970462373,Synchronizing weighted automata
104,1972193127,
105,1972197965,The Oblivious Transfer Capacity of the Wiretapped Binary Erasure Channel
106,1974252294,
107,1974370252,
108,1976930960,
109,1977183758,
110,1978451479,
111,1978696990,New Coherence and RIP Analysis for Weak Orthogonal Matching Pursuit
112,1981029888,RAPPOR: Randomized Aggregatable Privacy-Preserving Ordinal Response
113,1983815018,Increasing Flash Memory Lifetime by Dynamic Voltage Allocation for Constant Mutual Information
114,1984398168,Proof Pad: A New Development Environment for ACL2
115,1985850551,Channels as Objects in Concurrent Object-Oriented Programming
116,1994203036,Approximate optimal cooperative decentralized control for consensus in a topological network of agents with uncertain nonlinear dynamics
117,1994596572,The Role of Peer Influence in Churn in Wireless Networks
118,2000628897,
119,2001557365,
120,2001699728,
121,2001942931,
122,2003612823,
123,2005285092,
124,2005612613,Iterative Concave Rank Approximation for Recovering Low-Rank Matrices
125,2008604527,A general quantitative cryptanalysis of permutation-only multimedia ciphers against plaintext attacks
126,2009318757,An efficient assignment of drainage direction over flat surfaces in raster digital elevation models
127,2010239981,
128,2015969595,Optimized imaging using non-rigid registration.
129,2023346713,Conflict-driven ASP Solving with External Sources
130,2023669216,
131,2026035956,Matched Filtering From Limited Frequency Samples
132,2026334295,
133,2029741572,
134,2031384529,
135,2033252913,
136,2035417248,
137,2037610944,Promoting Truthful Behaviour in Participatory-Sensing Mechanisms
138,2038872199,Relatives in the same university faculty: nepotism or merit?
139,2039623973,Inertial Parameter Identification Including Friction and Motor Dynamics
140,2044357496,Verifiable Source Code Documentation in Controlled Natural Language
141,2045492734,
142,2046629409,A Polyhedral Approximation Framework for Convex and Robust Distributed Optimization
143,2046927882,
144,2049223024,
145,2052978498,
146,2054156261,
147,2056465590,
148,2058503096,
149,2061164145,
150,2062637899,Using Built-In Domain-Specific Modeling Support to Guide Model-Based Test Generation
151,2065627966,
152,2067340979,
153,2067949855,
154,2069293554,
155,2074934005,
156,2077286704,The Henchman Problem: Measuring Secrecy by the Minimum Distortion in a List
157,2079489844,Strategic Port Graph Rewriting: An Interactive Modelling and Analysis Framework
158,2081483301,Oversampling Increases the Pre-Log of Noncoherent Rayleigh Fading Channels
159,2083965535,IEC 61499 vs. 61131: A Comparison Based on Misperceptions
160,2088010865,The Entropy of Conditional Markov Trajectories
161,2088233081,Distributive Laws and Decidable Properties of SOS Specifications
162,2088442093,
163,2094380852,
164,2096400936,
165,2096637116,
166,2096639003,
167,2096761913,
168,2097759652,
169,2099527426,Cognitive and Cache-enabled D2D Communications in Cellular Networks
170,2100725109,Using Transmit-Only Sensors to Reduce Deployment Cost of Wireless Sensor Networks
171,2104308413,High-SIR Transmission Capacity of Wireless Networks With General Fading and Node Distribution
172,2109463955,Towards a Multi-criteria Development Distribution Model: An Analysis of Existing Task Distribution Approaches
173,2111132618,Proportional Fair MU-MIMO in 802.11 WLANs
174,2114297064,
175,2115394571,Codes between MBR and MSR Points with Exact Repair Property
176,2117327438,
177,2118013417,
178,2118203533,
179,2121933323,
180,2123936825,
181,2125290027,
182,2127724539,
183,2128095813,DOLFIN: Automated finite element computing
184,2129139293,
185,2130190443,
186,2131830786,
187,2132489970,
188,2132690206,
189,2136783219,
190,2136787699,
191,2136961259,DepecheMood: a Lexicon for Emotion Analysis from Crowd-Annotated News
192,2137586949,
193,2137768004,Hierarchical Hidden Markov Model in detecting activities of daily living in wearable videos for studies of dementia
194,2137817852,The Rank and Hanna Neumann Property of Some Submonoids of a Free Monoid
195,2138241565,
196,2141581456,Fast and Scalable Structural SVM with Slack Rescaling
197,2146699143,
198,2148698193,
199,2149210625,
200,2151152358,
201,2152052626,
202,2152297266,
203,2152849372,
204,2153982189,The long and the short of it: summarising event sequences with serial episodes
205,2155894515,Sequential complexity as a descriptor for musical similarity
206,2157527521,A classification for community discovery methods in complex networks
207,2160583936,The Cost of an Epidemic over a Complex Network: A Random Matrix Approach
208,2161621396,The Secrecy Capacity of Compound Gaussian MIMO Wiretap Channels
209,2162258888,Choreographies and Behavioural Contracts on the Way to Dynamic Updates
210,2164383533,Graph Homomorphisms, Circular Colouring, and Fractional Covering by H-cuts
211,2165136719,
212,2165228812,
213,2165925342,
214,2167761279,
215,2168347639,
216,2169137280,
217,2172166764,Assembling thefacebook: Using heterogeneity to understand online social network assembly
218,2180882408,Diffusing Private Data over Networks
219,2184854395,Finger Based Technique (FBT): An Innovative System for Improved Usability for the Blind Users' Dynamic Interaction with Mobile Touch Screen Devices
220,2193438280,Fast Algorithms for Game-Theoretic Centrality Measures.
221,2196015344,Directional Global Three-part Image Decomposition
222,2197635914,Green Cognitive Relaying: Opportunistically Switching Between Data Transmission and Energy Harvesting
223,2204743480,
224,2206436691,
225,2217972116,
226,2223375486,
227,2223602738,
228,2225420026,
229,2227810799,
230,2228910404,
231,2231526355,On ultralimits of sparse graph classes
232,2235247707,
233,2240922584,A Preliminary Study on the Learning Informativeness of Data Subsets
234,2243067292,Cutting Recursive Autoencoder Trees
235,2247424319,
236,2249293447,Exploring the influence of scale on artist attribution.
237,2254815396,Proof terms for infinitary rewriting, progress report
238,2257646213,Predicting missing links and their weights via reliable-route-based method.
239,2257722703,
240,2264830470,MAP Support Detection for Greedy Sparse Signal Recovery Algorithms in Compressive Sensing
241,2268095327,
242,2268261130,
243,2268733610,An encoding of array verification problems into array-free Horn clauses
244,2268938174,
245,2270218991,
246,2270384168,
247,2273364576,
248,2275960700,
249,2278003675,
250,2280286192,
251,2281477989,
252,2284844860,
253,2287998125,
254,2289178639,
255,2289616950,Scanning and Parsing Languages with Ambiguities and Constraints: The Lamb and Fence Algorithms.
256,2292071457,Overload Control in SIP Networks: A Heuristic Approach Based on Mathematical Optimization
257,2292156587,Nesting Depth of Operators in Graph Database Queries: Expressiveness Vs. Evaluation Complexity
